"year_month,""month_of_release"",""passenger_type"",""direction"",""sex"",""age"",""estimate"",""standard_error"",""status"""
"2019-05,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""20-24 years"",489,0,""Final"""
"2019-06,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""20-24 years"",758,0,""Provisional"""
"2019-07,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""20-24 years"",611,2,""Provisional"""
"2019-08,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""20-24 years"",521,4,""Provisional"""
"2019-09,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""20-24 years"",480,6,""Provisional"""
"2019-10,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""20-24 years"",489,7,""Provisional"""
"2019-11,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""20-24 years"",1129,22,""Provisional"""
"2019-12,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""20-24 years"",1060,22,""Provisional"""
"2020-01,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""20-24 years"",727,19,""Provisional"""
"2020-02,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""20-24 years"",549,16,""Provisional"""
"2020-03,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""20-24 years"",559,16,""Provisional"""
"2020-04,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""20-24 years"",92,7,""Provisional"""
"2020-05,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""20-24 years"",61,5,""Provisional"""
"2020-06,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""20-24 years"",110,8,""Provisional"""
"2020-07,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""20-24 years"",228,14,""Provisional"""
"2020-08,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""20-24 years"",158,12,""Provisional"""
"2020-09,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""20-24 years"",149,13,""Provisional"""
"2019-05,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""25-29 years"",854,0,""Final"""
"2019-06,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""25-29 years"",825,0,""Provisional"""
"2019-07,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""25-29 years"",677,2,""Provisional"""
"2019-08,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""25-29 years"",601,5,""Provisional"""
"2019-09,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""25-29 years"",644,8,""Provisional"""
"2019-10,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""25-29 years"",707,9,""Provisional"""
"2019-11,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""25-29 years"",698,14,""Provisional"""
"2019-12,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""25-29 years"",1011,22,""Provisional"""
"2020-01,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""25-29 years"",858,22,""Provisional"""
"2020-02,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""25-29 years"",687,18,""Provisional"""
"2020-03,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""25-29 years"",712,20,""Provisional"""
"2020-04,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""25-29 years"",149,9,""Provisional"""
"2020-05,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""25-29 years"",87,6,""Provisional"""
"2020-06,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""25-29 years"",151,9,""Provisional"""
"2020-07,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""25-29 years"",311,17,""Provisional"""
"2020-08,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""25-29 years"",216,15,""Provisional"""
"2020-09,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""25-29 years"",239,17,""Provisional"""
"2019-05,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""25-29 years"",867,0,""Final"""
"2019-06,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""25-29 years"",837,0,""Provisional"""
"2019-07,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""25-29 years"",778,2,""Provisional"""
"2019-08,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""25-29 years"",697,4,""Provisional"""
"2019-09,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""25-29 years"",673,7,""Provisional"""
"2019-10,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""25-29 years"",785,9,""Provisional"""
"2019-11,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""25-29 years"",787,14,""Provisional"""
"2019-12,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""25-29 years"",1052,21,""Provisional"""
"2020-01,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""25-29 years"",1006,22,""Provisional"""
"2020-02,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""25-29 years"",1041,25,""Provisional"""
"2020-03,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""25-29 years"",892,21,""Provisional"""
"2020-04,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""25-29 years"",116,7,""Provisional"""
"2020-05,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""25-29 years"",89,6,""Provisional"""
"2020-06,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""25-29 years"",195,10,""Provisional"""
"2020-07,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""25-29 years"",374,19,""Provisional"""
"2020-08,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""25-29 years"",265,16,""Provisional"""
"2020-09,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""25-29 years"",300,19,""Provisional"""
"2019-05,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""30-34 years"",515,0,""Final"""
"2019-06,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""30-34 years"",470,0,""Provisional"""
"2019-07,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""30-34 years"",444,1,""Provisional"""
"2019-08,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""30-34 years"",368,3,""Provisional"""
"2019-09,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""30-34 years"",382,5,""Provisional"""
"2019-10,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""30-34 years"",431,7,""Provisional"""
"2019-11,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""30-34 years"",455,11,""Provisional"""
"2019-12,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""30-34 years"",599,15,""Provisional"""
"2020-01,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""30-34 years"",532,16,""Provisional"""
"2020-02,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""30-34 years"",421,14,""Provisional"""
"2020-03,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""30-34 years"",446,14,""Provisional"""
"2020-04,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""30-34 years"",76,6,""Provisional"""
"2020-05,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""30-34 years"",60,5,""Provisional"""
"2020-06,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""30-34 years"",112,8,""Provisional"""
"2020-07,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""30-34 years"",165,12,""Provisional"""
"2020-08,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""30-34 years"",131,11,""Provisional"""
"2020-09,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""30-34 years"",127,12,""Provisional"""
"2019-05,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""30-34 years"",578,0,""Final"""
"2019-06,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""30-34 years"",505,0,""Provisional"""
"2019-07,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""30-34 years"",461,2,""Provisional"""
"2019-08,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""30-34 years"",435,5,""Provisional"""
"2019-09,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""30-34 years"",421,7,""Provisional"""
"2019-10,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""30-34 years"",519,8,""Provisional"""
"2019-11,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""30-34 years"",523,13,""Provisional"""
"2019-12,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""30-34 years"",672,17,""Provisional"""
"2020-01,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""30-34 years"",602,17,""Provisional"""
"2020-02,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""30-34 years"",630,17,""Provisional"""
"2020-03,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""30-34 years"",633,18,""Provisional"""
"2020-04,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""30-34 years"",84,6,""Provisional"""
"2020-05,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""30-34 years"",70,5,""Provisional"""
"2020-06,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""30-34 years"",124,8,""Provisional"""
"2020-07,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""30-34 years"",251,15,""Provisional"""
"2020-08,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""30-34 years"",166,13,""Provisional"""
"2020-09,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""30-34 years"",216,16,""Provisional"""
"2019-05,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""35-39 years"",262,0,""Final"""
"2019-06,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""35-39 years"",268,0,""Provisional"""
"2019-07,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""35-39 years"",285,1,""Provisional"""
"2019-08,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""35-39 years"",244,3,""Provisional"""
"2019-09,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""35-39 years"",247,5,""Provisional"""
"2019-10,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""35-39 years"",234,6,""Provisional"""
"2019-11,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""35-39 years"",250,8,""Provisional"""
"2019-12,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""35-39 years"",395,13,""Provisional"""
"2020-01,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""35-39 years"",324,12,""Provisional"""
"2020-02,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""35-39 years"",213,10,""Provisional"""
"2020-03,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""35-39 years"",209,9,""Provisional"""
"2020-04,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""35-39 years"",29,4,""Provisional"""
"2020-05,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""35-39 years"",29,4,""Provisional"""
"2020-06,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""35-39 years"",54,5,""Provisional"""
"2020-07,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""35-39 years"",98,8,""Provisional"""
"2020-08,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""35-39 years"",59,7,""Provisional"""
"2020-09,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""35-39 years"",62,8,""Provisional"""
"2019-05,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""35-39 years"",294,0,""Final"""
"2019-06,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""35-39 years"",296,0,""Provisional"""
"2019-07,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""35-39 years"",304,2,""Provisional"""
"2019-08,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""35-39 years"",279,4,""Provisional"""
"2019-09,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""35-39 years"",265,6,""Provisional"""
"2019-10,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""35-39 years"",317,7,""Provisional"""
"2019-11,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""35-39 years"",288,9,""Provisional"""
"2019-12,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""35-39 years"",402,12,""Provisional"""
"2020-01,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""35-39 years"",422,15,""Provisional"""
"2020-02,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""35-39 years"",311,12,""Provisional"""
"2020-03,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""35-39 years"",320,11,""Provisional"""
"2020-04,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""35-39 years"",40,4,""Provisional"""
"2020-05,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""35-39 years"",32,4,""Provisional"""
"2020-06,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""35-39 years"",66,6,""Provisional"""
"2020-07,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""35-39 years"",139,10,""Provisional"""
"2020-08,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""35-39 years"",90,8,""Provisional"""
"2020-09,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""35-39 years"",107,11,""Provisional"""
"2019-05,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""40-44 years"",152,0,""Final"""
"2019-06,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""40-44 years"",168,0,""Provisional"""
"2019-07,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""40-44 years"",210,1,""Provisional"""
"2019-08,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""40-44 years"",176,2,""Provisional"""
"2019-09,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""40-44 years"",162,4,""Provisional"""
"2019-10,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""40-44 years"",181,5,""Provisional"""
"2019-11,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""40-44 years"",158,7,""Provisional"""
"2019-12,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""40-44 years"",314,12,""Provisional"""
"2020-01,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""40-44 years"",225,11,""Provisional"""
"2020-02,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""40-44 years"",144,8,""Provisional"""
"2020-03,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""40-44 years"",145,8,""Provisional"""
"2020-04,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""40-44 years"",28,3,""Provisional"""
"2020-05,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""40-44 years"",24,3,""Provisional"""
"2020-06,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""40-44 years"",31,4,""Provisional"""
"2020-07,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""40-44 years"",66,7,""Provisional"""
"2020-08,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""40-44 years"",43,6,""Provisional"""
"2020-09,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""40-44 years"",34,5,""Provisional"""
"2019-05,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""40-44 years"",203,0,""Final"""
"2019-06,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""40-44 years"",190,0,""Provisional"""
"2019-07,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""40-44 years"",213,1,""Provisional"""
"2019-08,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""40-44 years"",186,3,""Provisional"""
"2019-09,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""40-44 years"",200,5,""Provisional"""
"2019-10,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""40-44 years"",202,7,""Provisional"""
"2019-11,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""40-44 years"",190,8,""Provisional"""
"2019-12,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""40-44 years"",309,12,""Provisional"""
"2020-01,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""40-44 years"",280,11,""Provisional"""
"2020-02,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""40-44 years"",210,10,""Provisional"""
"2020-03,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""40-44 years"",233,10,""Provisional"""
"2020-04,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""40-44 years"",23,3,""Provisional"""
"2020-05,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""40-44 years"",30,4,""Provisional"""
"2020-06,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""40-44 years"",48,5,""Provisional"""
"2020-07,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""40-44 years"",84,8,""Provisional"""
"2020-08,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""40-44 years"",60,7,""Provisional"""
"2020-09,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""40-44 years"",81,10,""Provisional"""
"2019-05,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""45-49 years"",119,0,""Final"""
"2019-06,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""45-49 years"",162,0,""Provisional"""
"2019-07,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""45-49 years"",186,1,""Provisional"""
"2019-08,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""45-49 years"",140,3,""Provisional"""
"2019-09,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""45-49 years"",150,5,""Provisional"""
"2019-10,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""45-49 years"",157,5,""Provisional"""
"2019-11,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""45-49 years"",190,7,""Provisional"""
"2019-12,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""45-49 years"",260,11,""Provisional"""
"2020-01,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""45-49 years"",194,10,""Provisional"""
"2020-02,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""45-49 years"",146,8,""Provisional"""
"2020-03,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""45-49 years"",142,9,""Provisional"""
"2020-04,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""45-49 years"",15,2,""Provisional"""
"2020-05,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""45-49 years"",21,3,""Provisional"""
"2020-06,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""45-49 years"",23,4,""Provisional"""
"2020-07,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""45-49 years"",43,5,""Provisional"""
"2020-08,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""45-49 years"",40,6,""Provisional"""
"2020-09,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""45-49 years"",29,5,""Provisional"""
"2019-05,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""45-49 years"",152,0,""Final"""
"2019-06,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""45-49 years"",179,0,""Provisional"""
"2019-07,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""45-49 years"",173,2,""Provisional"""
"2019-08,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""45-49 years"",148,3,""Provisional"""
"2019-09,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""45-49 years"",170,5,""Provisional"""
"2019-10,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""45-49 years"",186,7,""Provisional"""
"2019-11,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""45-49 years"",192,8,""Provisional"""
"2019-12,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""45-49 years"",241,10,""Provisional"""
"2020-01,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""45-49 years"",237,11,""Provisional"""
"2020-02,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""45-49 years"",174,10,""Provisional"""
"2020-03,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""45-49 years"",187,9,""Provisional"""
"2020-04,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""45-49 years"",15,3,""Provisional"""
"2020-05,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""45-49 years"",25,4,""Provisional"""
"2020-06,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""45-49 years"",29,4,""Provisional"""
"2020-07,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""45-49 years"",60,7,""Provisional"""
"2020-08,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""45-49 years"",53,7,""Provisional"""
"2020-09,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""45-49 years"",62,9,""Provisional"""
"2019-05,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""5-9 years"",124,0,""Final"""
"2019-06,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""5-9 years"",162,0,""Provisional"""
"2019-07,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""5-9 years"",207,1,""Provisional"""
"2019-08,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""5-9 years"",165,1,""Provisional"""
"2019-09,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""5-9 years"",146,3,""Provisional"""
"2019-10,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""5-9 years"",147,3,""Provisional"""
"2019-11,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""5-9 years"",135,6,""Provisional"""
"2019-12,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""5-9 years"",328,9,""Provisional"""
"2020-01,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""5-9 years"",214,10,""Provisional"""
"2020-02,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""5-9 years"",109,6,""Provisional"""
"2020-03,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""5-9 years"",108,6,""Provisional"""
"2020-04,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""5-9 years"",18,2,""Provisional"""
"2020-05,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""5-9 years"",12,2,""Provisional"""
"2020-06,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""5-9 years"",23,3,""Provisional"""
"2020-07,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""5-9 years"",54,6,""Provisional"""
"2020-08,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""5-9 years"",44,6,""Provisional"""
"2020-09,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""5-9 years"",28,5,""Provisional"""
"2019-05,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""5-9 years"",141,0,""Final"""
"2019-06,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""5-9 years"",170,0,""Provisional"""
"2019-07,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""5-9 years"",210,1,""Provisional"""
"2019-08,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""5-9 years"",174,1,""Provisional"""
"2019-09,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""5-9 years"",166,3,""Provisional"""
"2019-10,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""5-9 years"",154,3,""Provisional"""
"2019-11,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""5-9 years"",158,6,""Provisional"""
"2019-12,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""5-9 years"",360,10,""Provisional"""
"2020-01,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""5-9 years"",238,10,""Provisional"""
"2020-02,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""5-9 years"",131,7,""Provisional"""
"2020-03,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""5-9 years"",132,7,""Provisional"""
"2020-04,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""5-9 years"",15,2,""Provisional"""
"2020-05,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""5-9 years"",20,3,""Provisional"""
"2020-06,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""5-9 years"",38,4,""Provisional"""
"2020-07,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""5-9 years"",61,6,""Provisional"""
"2020-08,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""5-9 years"",46,6,""Provisional"""
"2020-09,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""5-9 years"",31,5,""Provisional"""
"2019-05,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""50-54 years"",144,0,""Final"""
"2019-06,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""50-54 years"",149,0,""Provisional"""
"2019-07,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""50-54 years"",142,1,""Provisional"""
"2019-08,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""50-54 years"",116,2,""Provisional"""
"2019-09,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""50-54 years"",138,4,""Provisional"""
"2019-10,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""50-54 years"",137,5,""Provisional"""
"2019-11,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""50-54 years"",156,7,""Provisional"""
"2019-12,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""50-54 years"",180,9,""Provisional"""
"2020-01,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""50-54 years"",141,8,""Provisional"""
"2020-02,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""50-54 years"",120,8,""Provisional"""
"2020-03,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""50-54 years"",119,8,""Provisional"""
"2020-04,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""50-54 years"",11,2,""Provisional"""
"2020-05,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""50-54 years"",10,2,""Provisional"""
"2020-06,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""50-54 years"",21,4,""Provisional"""
"2020-07,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""50-54 years"",33,5,""Provisional"""
"2020-08,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""50-54 years"",38,6,""Provisional"""
"2020-09,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""50-54 years"",31,6,""Provisional"""
"2019-05,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""50-54 years"",152,0,""Final"""
"2019-06,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""50-54 years"",138,0,""Provisional"""
"2019-07,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""50-54 years"",145,2,""Provisional"""
"2019-08,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""50-54 years"",127,4,""Provisional"""
"2019-09,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""50-54 years"",126,5,""Provisional"""
"2019-10,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""50-54 years"",143,6,""Provisional"""
"2019-11,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""50-54 years"",175,8,""Provisional"""
"2019-12,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""50-54 years"",170,9,""Provisional"""
"2020-01,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""50-54 years"",171,9,""Provisional"""
"2020-02,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""50-54 years"",137,8,""Provisional"""
"2020-03,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""50-54 years"",145,8,""Provisional"""
"2020-04,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""50-54 years"",15,3,""Provisional"""
"2020-05,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""50-54 years"",15,3,""Provisional"""
"2020-06,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""50-54 years"",24,4,""Provisional"""
"2020-07,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""50-54 years"",47,6,""Provisional"""
"2020-08,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""50-54 years"",34,6,""Provisional"""
"2020-09,""2020-09"",""Long-term migrant"",""Departures"",""Male"",""50-54 years"",33,6,""Provisional"""
"2019-05,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""55-59 years"",148,0,""Final"""
"2019-06,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""55-59 years"",135,0,""Provisional"""
"2019-07,""2020-09"",""Long-term migrant"",""Departures"",""Female"",""55-59 years"",119,1,""Provisional"""
